Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
+2.439522e-03 +7.501702e-01 +1.004713e+03 +2.428303e+02     Pix  0 71
+2.580310e-03 +7.862774e-01 +9.776727e+02 +3.007865e+02     Pix  0 72
+2.428891e-03 +7.455803e-01 +1.005176e+03 +2.748620e+02     Pix  0 73
+2.421896e-03 +7.134881e-01 +1.025223e+03 +2.244726e+02     Pix  0 74
+2.445746e-03 +7.397359e-01 +1.005668e+03 +2.728576e+02     Pix  0 75
+2.466141e-03 +7.709292e-01 +1.005711e+03 +2.640349e+02     Pix  0 76
+2.649867e-03 +8.116332e-01 +9.419881e+02 +3.017043e+02     Pix  0 77
+2.532580e-03 +7.851838e-01 +9.858552e+02 +2.988168e+02     Pix  0 78
+2.171828e-03 +6.780902e-01 +1.055885e+03 +2.263502e+02     Pix  0 79
+2.846232e-03 +8.584803e-01 +9.692656e+02 +3.401098e+02     Pix  1  0
+2.995716e-03 +8.681367e-01 +9.482709e+02 +3.396802e+02     Pix  1  1
+3.044171e-03 +8.547770e-01 +9.366143e+02 +3.398168e+02     Pix  1  2
+3.069271e-03 +8.413717e-01 +9.406376e+02 +3.659742e+02     Pix  1  3
+3.026413e-03 +8.762926e-01 +9.361691e+02 +3.610366e+02     Pix  1  4
+2.968081e-03 +8.491661e-01 +9.650319e+02 +3.109488e+02     Pix  1  5
+3.081980e-03 +8.949592e-01 +9.385062e+02 +3.671977e+02     Pix  1  6
+2.904498e-03 +8.076318e-01 +9.653781e+02 +3.391873e+02     Pix  1  7
+3.103142e-03 +8.670463e-01 +9.264550e+02 +3.480046e+02     Pix  1  8
+3.003954e-03 +8.578151e-01 +9.401469e+02 +3.691418e+02     Pix  1  9
+3.011910e-03 +8.975468e-01 +9.354758e+02 +3.380809e+02     Pix  1 10
+2.944334e-03 +8.322602e-01 +9.570590e+02 +3.163509e+02     Pix  1 11
+2.927980e-03 +8.680443e-01 +9.518863e+02 +3.569970e+02     Pix  1 12
+3.014106e-03 +8.642855e-01 +9.355657e+02 +3.474004e+02     Pix  1 13
+2.927836e-03 +8.055580e-01 +9.662789e+02 +3.082669e+02     Pix  1 14
+2.936197e-03 +9.059604e-01 +9.355324e+02 +3.524914e+02     Pix  1 15
+2.865448e-03 +8.194446e-01 +9.734583e+02 +3.063857e+02     Pix  1 16
+2.910858e-03 +8.256481e-01 +9.534269e+02 +3.155628e+02     Pix  1 17
+3.056969e-03 +9.464341e-01 +9.083054e+02 +3.975001e+02     Pix  1 18
+2.900442e-03 +8.208823e-01 +9.596742e+02 +3.158411e+02     Pix  1 19
+2.915066e-03 +8.295354e-01 +9.615785e+02 +3.138671e+02     Pix  1 20
+2.913067e-03 +8.365244e-01 +9.609824e+02 +3.469889e+02     Pix  1 21
+2.976937e-03 +8.813248e-01 +9.430527e+02 +3.369466e+02     Pix  1 22
+2.914950e-03 +8.384241e-01 +9.522682e+02 +3.199869e+02     Pix  1 23
+2.807902e-03 +8.086807e-01 +9.854539e+02 +3.232714e+02     Pix  1 24
+2.935791e-03 +8.631258e-01 +9.374362e+02 +3.416502e+02     Pix  1 25
+2.901791e-03 +8.349093e-01 +9.569384e+02 +3.170291e+02     Pix  1 26
+2.897279e-03 +8.750549e-01 +9.443826e+02 +3.555573e+02     Pix  1 27
+2.942605e-03 +8.490627e-01 +9.403669e+02 +3.330835e+02     Pix  1 28
+2.891901e-03 +8.905709e-01 +9.441765e+02 +3.203288e+02     Pix  1 29
+2.908034e-03 +8.507047e-01 +9.530961e+02 +3.530456e+02     Pix  1 30
+2.913195e-03 +8.502266e-01 +9.565569e+02 +3.170065e+02     Pix  1 31
+3.001689e-03 +8.791090e-01 +9.218272e+02 +3.513972e+02     Pix  1 32
+2.763097e-03 +7.628827e-01 +9.912574e+02 +2.969400e+02     Pix  1 33
+2.880481e-03 +8.489184e-01 +9.510975e+02 +3.255870e+02     Pix  1 34
+2.789335e-03 +8.059499e-01 +9.810966e+02 +2.748379e+02     Pix  1 35
+2.817440e-03 +8.177956e-01 +9.659801e+02 +3.382606e+02     Pix  1 36
+2.932791e-03 +8.784887e-01 +9.411770e+02 +3.314402e+02     Pix  1 37
+2.898964e-03 +8.562470e-01 +9.409700e+02 +3.178144e+02     Pix  1 38
+2.917136e-03 +8.780381e-01 +9.357509e+02 +3.714070e+02     Pix  1 39
+2.770943e-03 +8.166128e-01 +9.774875e+02 +3.006482e+02     Pix  1 40
+2.970045e-03 +8.851176e-01 +9.274160e+02 +3.359745e+02     Pix  1 41
+2.877417e-03 +8.295638e-01 +9.515748e+02 +3.508403e+02     Pix  1 42
+2.883419e-03 +8.425498e-01 +9.473011e+02 +3.274451e+02     Pix  1 43
+2.893269e-03 +8.768864e-01 +9.533305e+02 +3.087126e+02     Pix  1 44
+2.867733e-03 +8.553630e-01 +9.459664e+02 +3.413804e+02     Pix  1 45
+2.807859e-03 +8.232826e-01 +9.579075e+02 +3.184833e+02     Pix  1 46
+2.857124e-03 +8.275814e-01 +9.482343e+02 +3.005415e+02     Pix  1 47
+2.899949e-03 +8.707873e-01 +9.532259e+02 +3.372205e+02     Pix  1 48
+2.788400e-03 +8.320370e-01 +9.637327e+02 +3.085276e+02     Pix  1 49
+2.917981e-03 +8.582318e-01 +9.399468e+02 +3.061149e+02     Pix  1 50
+2.719794e-03 +8.172395e-01 +9.721491e+02 +3.093034e+02     Pix  1 51
+2.807822e-03 +8.504364e-01 +9.638567e+02 +2.996626e+02     Pix  1 52
+2.883311e-03 +8.278326e-01 +9.484083e+02 +2.930521e+02     Pix  1 53
+2.905280e-03 +8.591860e-01 +9.423246e+02 +3.437514e+02     Pix  1 54
+2.802441e-03 +8.327312e-01 +9.660999e+02 +3.104942e+02     Pix  1 55
+2.897904e-03 +8.706547e-01 +9.371789e+02 +3.047885e+02     Pix  1 56
+2.826702e-03 +8.267272e-01 +9.705831e+02 +3.159971e+02     Pix  1 57
+2.655835e-03 +7.773516e-01 +9.972619e+02 +2.727339e+02     Pix  1 58
+2.860809e-03 +8.647246e-01 +9.379899e+02 +3.081889e+02     Pix  1 59
+2.802589e-03 +8.493592e-01 +9.618687e+02 +3.126803e+02     Pix  1 60
+2.719837e-03 +8.266216e-01 +9.720021e+02 +3.022636e+02     Pix  1 61
+2.745351e-03 +8.205160e-01 +9.638015e+02 +2.872167e+02     Pix  1 62
+2.678331e-03 +7.823066e-01 +9.804167e+02 +2.984227e+02     Pix  1 63
+2.788452e-03 +8.179024e-01 +9.577155e+02 +3.193085e+02     Pix  1 64
+2.858955e-03 +8.894975e-01 +9.186915e+02 +3.260441e+02     Pix  1 65
+2.678578e-03 +7.949087e-01 +9.862887e+02 +2.995460e+02     Pix  1 66
+2.654454e-03 +7.781822e-01 +9.946113e+02 +2.732800e+02     Pix  1 67
+2.651531e-03 +8.054101e-01 +9.750986e+02 +2.796317e+02     Pix  1 68
+2.573324e-03 +7.846945e-01 +9.886227e+02 +2.920140e+02     Pix  1 69
+2.698406e-03 +8.088982e-01 +9.611691e+02 +2.954560e+02     Pix  1 70
+2.455468e-03 +7.633227e-01 +1.009238e+03 +2.376104e+02     Pix  1 71
+2.505899e-03 +7.783603e-01 +1.009952e+03 +2.683916e+02     Pix  1 72
+2.536407e-03 +7.515339e-01 +1.009608e+03 +2.642669e+02     Pix  1 73
+2.686440e-03 +8.054636e-01 +9.699807e+02 +2.782290e+02     Pix  1 74
+2.553926e-03 +8.005987e-01 +9.863360e+02 +2.906618e+02     Pix  1 75
+2.361119e-03 +6.857111e-01 +1.052301e+03 +2.274508e+02     Pix  1 76
+2.447725e-03 +7.180518e-01 +1.018610e+03 +2.434095e+02     Pix  1 77
